epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.663,0.9772,2.27687,1.27296,0.69448,0.67531,0.71823,0.4909,1.00345,1.18182,1.23247,0.000138866,0.000138866,0.000138866
2,343.207,1.02254,1.68184,1.30545,0.67177,0.63054,0.67001,0.45576,1.06984,1.26062,1.29564,0.000264111,0.000264111,0.000264111
3,625.452,1.04437,1.59345,1.3155,0.6671,0.63035,0.67216,0.44291,1.09602,1.26113,1.3227,0.000375596,0.000375596,0.000375596
4,815.779,1.04709,1.51947,1.32241,0.68229,0.63502,0.68132,0.45722,1.07172,1.20687,1.28894,0.000355076,0.000355076,0.000355076
5,982.636,1.02614,1.43206,1.30473,0.70968,0.65121,0.71238,0.49435,1.04128,1.13924,1.26498,0.000334434,0.000334434,0.000334434
6,1159.17,0.9989,1.37239,1.29191,0.75668,0.64389,0.73392,0.50872,1.04163,1.10373,1.27101,0.000313792,0.000313792,0.000313792
7,1326.48,0.99361,1.31504,1.2821,0.74359,0.67607,0.75097,0.529,1.0018,1.05819,1.23602,0.000293151,0.000293151,0.000293151
8,1499.03,0.97394,1.28125,1.2745,0.73692,0.69267,0.75459,0.53662,1.00006,1.02104,1.23637,0.000272509,0.000272509,0.000272509
9,1714.24,0.96025,1.23038,1.26203,0.77576,0.69443,0.77855,0.55535,0.98649,0.97877,1.21902,0.000251868,0.000251868,0.000251868
10,1940.94,0.94783,1.19876,1.25419,0.77269,0.70135,0.78128,0.5662,0.97023,0.95268,1.20777,0.000231226,0.000231226,0.000231226
11,2106.17,0.93268,1.07992,1.25141,0.78407,0.69969,0.78864,0.57239,0.96694,0.9446,1.21045,0.000210585,0.000210585,0.000210585
12,2647.16,0.9128,1.01844,1.23178,0.78195,0.71066,0.79327,0.579,0.95182,0.91469,1.19516,0.000189943,0.000189943,0.000189943
13,2810.26,0.89458,0.97102,1.21776,0.78242,0.71497,0.79813,0.58238,0.94607,0.89645,1.19011,0.000169302,0.000169302,0.000169302
14,2972.84,0.87878,0.93215,1.20606,0.7848,0.73027,0.80794,0.59653,0.93117,0.87414,1.18034,0.00014866,0.00014866,0.00014866
15,3136.56,0.86045,0.895,1.18916,0.80484,0.72988,0.81613,0.60321,0.9291,0.86023,1.17433,0.000128019,0.000128019,0.000128019
16,3299.65,0.84523,0.86633,1.1809,0.80081,0.73884,0.82281,0.61119,0.92243,0.83633,1.17057,0.000107378,0.000107378,0.000107378
17,3462.87,0.83306,0.8326,1.16495,0.80942,0.7398,0.8225,0.61339,0.9081,0.8239,1.15989,8.6736e-05,8.6736e-05,8.6736e-05
18,3625.58,0.81052,0.79891,1.15201,0.8152,0.7495,0.83055,0.6229,0.90554,0.81446,1.15595,6.60945e-05,6.60945e-05,6.60945e-05
19,3789.05,0.80034,0.77594,1.1453,0.80914,0.75375,0.832,0.62413,0.90398,0.80453,1.15357,4.5453e-05,4.5453e-05,4.5453e-05
20,3952.41,0.7875,0.75225,1.13291,0.8236,0.74766,0.83472,0.62893,0.896,0.79463,1.14971,2.48115e-05,2.48115e-05,2.48115e-05
